ID,event_id,mortality_signal
NC-2022-34,21313725515,0
NC-2022-34,21313725533,0
NC-2022-34,21335177745,0
NC-2022-34,21335177758,0
NC-2022-34,21335177776,0
NC-2022-34,21335177793,0
NC-2022-34,21439409170,0
NC-2022-34,21439409186,0
NC-2022-34,21517098633,0
NC-2022-34,21517098649,0
NC-2022-34,21551806729,0
NC-2022-34,21551806759,0
NC-2022-34,21599539570,0
NC-2022-34,21599539571,0
NC-2022-34,21599539574,0
NC-2022-34,21599539580,0
NC-2022-34,21608137588,0
NC-2022-34,21608137598,0
NC-2022-34,21608137607,0
NC-2022-34,21608137616,0
NC-2022-34,21681782395,0
NC-2022-34,21681782402,0
NC-2022-34,22034920030,0
NC-2022-34,22034920043,0
NC-2022-34,22034920054,0
NC-2022-34,22034920070,0
NC-2022-34,22034920088,0
NC-2022-34,22034920105,0
NC-2022-34,22341910581,0
NC-2022-34,22341910593,0
NC-2022-34,22542227906,0
NC-2022-34,22542227919,0
NC-2022-34,22542228811,0
NC-2022-34,22542228814,0
NC-2022-34,22574770812,0
NC-2022-34,22574770831,0
NC-2022-34,22623902533,0
NC-2022-34,22623902534,0
NC-2022-34,22623902538,0
NC-2022-34,22623902542,0
NC-2022-34,22688507750,0
NC-2022-34,22688507761,0
NC-2022-34,23276541534,0
NC-2022-34,23276541541,0
NC-2022-34,23276541547,0
NC-2022-34,23276541569,0
NC-2022-34,23570158505,0
NC-2022-34,23570158510,0
NC-2022-34,23570158513,0
NC-2022-34,23570158525,0
NC-2022-36,21335177728,0
NC-2022-36,21335177737,0
NC-2022-36,21335177749,0
NC-2022-36,21335177762,0
NC-2022-36,21357856353,0
NC-2022-36,21357856362,0
NC-2022-36,21357856369,0
NC-2022-36,21357856377,0
NC-2022-36,21517098624,0
NC-2022-36,21517098635,0
NC-2022-36,21517098687,0
NC-2022-36,21517098702,0
NC-2022-36,21526243627,0
NC-2022-36,21526243635,0
NC-2022-36,21551806799,0
NC-2022-36,21551806826,0
NC-2022-36,21577620856,0
NC-2022-36,21577620865,0
NC-2022-36,21599539592,0
NC-2022-36,21599539597,0
NC-2022-36,21697560533,0
NC-2022-36,21697560537,0
NC-2022-36,21697560544,0
NC-2022-36,21697560552,0
NC-2022-36,21787139373,0
NC-2022-36,21787139383,0
NC-2022-36,21787139395,0
NC-2022-36,21787139417,0
NC-2022-36,21859718341,0
NC-2022-36,21859718367,0
NC-2022-36,21890900387,0
NC-2022-36,21890900398,0
